"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13088.3","","","","1"
"2002","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","12892.4","","","","1"
"2003","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13047.5","","","","1"
"2004","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13443.0","","","","1"
"2005","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13839.1","","","","1"
"2006","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13953.0","","","","1"
"2007","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14520.6","","","","1"
"2008","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14355.2","","","","1"
"2009","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13714.7","","","","1"
"2010","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14133.8","","","","1"
"2011","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14520.3","","","","1"
"2012","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14688.8","","","","1"
"2013","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","14805.8","","","","1"
"2014","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","15397.6","","","","1"
"2015","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","15784.1","","","","1"
"2016","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","16484.0","","","","1"
"2017","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","17262.4","","","","1"
"2018","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","17687.7","","","","1"
"2019","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","18258.7","","","","1"
"2020","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13534.3","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","13701.0","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","15964.9","","","","1"
"1997","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","19769.5","","","","1"
"1998","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","20019.7","","","","1"
"1999","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","21466.1","","","","1"
"2000","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","22233.1","","","","1"
"2001","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","22723.9","","","","1"
"2002","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","22460.7","","","","1"
"2003","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","22061.8","","","","1"
"2004","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","22823.5","","","","1"
"2005","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","24133.5","","","","1"
"2006","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","24528.3","","","","1"
"2007","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","24491.1","","","","1"
"2008","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","25423.7","","","","1"
"2009","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","24002.3","","","","1"
"2010","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","25013.7","","","","1"
"2011","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","25883.8","","","","1"
"2012","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","25795.8","","","","1"
"2013","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","26321.0","","","","1"
"2014","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","28059.0","","","","1"
"2015","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","29069.3","","","","1"
"2016","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","29814.5","","","","1"
"2017","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","31122.7","","","","1"
"2018","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","31658.2","","","","1"
"2019","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","32860.8","","","","1"
"2020","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","23899.8","","","","1"
"2021","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","24026.0","","","","1"
"2022","Ontario","2016A000235","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466228","6.2.185","28055.5","","","","1"
"1997","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2386.3","","","","1"
"1998","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2429.2","","","","1"
"1999","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2565.8","","","","1"
"2000","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2632.3","","","","1"
"2001","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2650.0","","","","1"
"2002","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2638.2","","","","1"
"2003","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2641.5","","","","1"
"2004","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2679.5","","","","1"
"2005","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2811.9","","","","1"
"2006","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2921.0","","","","1"
"2007","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2931.2","","","","1"
"2008","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2899.2","","","","1"
"2009","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2824.6","","","","1"
"2010","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","2944.3","","","","1"
"2011","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","3061.0","","","","1"
"2012","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","3118.3","","","","1"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","3155.8","","","","1"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62466533","7.2.185","3368.9","","","","1"
