"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","506962","","","","0"
"2009","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","511453","","","","0"
"2010","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","506634","","","","0"
"2011","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","495405","","","","0"
"2012","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","479599","","","","0"
"2013","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","464303","","","","0"
"2014","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","449406","","","","0"
"2015","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","438576","","","","0"
"2016","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","429985","","","","0"
"2017","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","423143","","","","0"
"2018","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","420956","","","","0"
"2019","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","425037","","","","0"
"2020","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","427907","","","","0"
"2021","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","429721","","","","0"
"2022","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","443510","","","","0"
"2023","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","462354","","","","0"
"1990","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","516797","","","","0"
"1991","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","501732","","","","0"
