"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","245681","","","","0"
"2015","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","246967","","","","0"
"2016","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","247410","","","","0"
"2017","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","247328","","","","0"
"2018","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","249925","","","","0"
"2019","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","253118","","","","0"
"2020","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","255263","","","","0"
"2021","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","256844","","","","0"
"2022","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","268018","","","","0"
"2023","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","282281","","","","0"
"1990","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","202357","","","","0"
"1991","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","200928","","","","0"
"1992","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","199603","","","","0"
"1993","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","197412","","","","0"
"1994","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","195274","","","","0"
"1995","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","193987","","","","0"
"1996","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","196619","","","","0"
"1997","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","201352","","","","0"
"1998","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","209875","","","","0"
"1999","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","216698","","","","0"
"2000","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","222473","","","","0"
"2001","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","229631","","","","0"
"2002","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","237341","","","","0"
"2003","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","243073","","","","0"
"2004","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","249324","","","","0"
"2005","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","259160","","","","0"
"2006","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","272190","","","","0"
"2007","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","282310","","","","0"
"2008","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","284597","","","","0"
"2009","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","286043","","","","0"
"2010","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","282729","","","","0"
"2011","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","280522","","","","0"
"2012","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","282590","","","","0"
"2013","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","287272","","","","0"
"2014","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","289790","","","","0"
"2015","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","287339","","","","0"
"2016","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","280698","","","","0"
"2017","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","275275","","","","0"
"2018","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","274071","","","","0"
