"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","322079","","","","0"
"2015","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","315001","","","","0"
"2016","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","318292","","","","0"
"2017","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","327733","","","","0"
"2018","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","341620","","","","0"
"2019","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","352373","","","","0"
"2020","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","346906","","","","0"
"2021","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","333460","","","","0"
"2022","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","343373","","","","0"
"2023","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","361376","","","","0"
"1990","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","287441","","","","0"
"1991","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","284319","","","","0"
"1992","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","282816","","","","0"
"1993","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","281491","","","","0"
"1994","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","282965","","","","0"
"1995","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","286966","","","","0"
"1996","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","294800","","","","0"
"1997","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","295903","","","","0"
"1998","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","290451","","","","0"
"1999","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","283358","","","","0"
"2000","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","275410","","","","0"
"2001","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","269495","","","","0"
"2002","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","265016","","","","0"
"2003","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","262076","","","","0"
"2004","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","263622","","","","0"
