"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3435.1","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3475.0","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","","..","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","34.1","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","255.4","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","497.0","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","588.5","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1077009630","6.1.113","586.5","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","897.6","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","916.4","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","903.9","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","919.5","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","985.0","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","1067.2","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","1122.4","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","1121.0","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","1093.6","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","1039.7","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","937.0","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","943.7","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","773.1","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","610.9","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","537.1","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1077009631","6.1.114","461.9","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","7380.4","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","7578.4","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","7582.6","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","7886.7","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","7905.7","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","8040.6","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","8357.7","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","8585.9","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","9185.9","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","9446.5","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","9507.6","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","9973.3","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","10225.6","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","8807.3","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","10161.1","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Clothing and footwear","Dollars","81","millions","6","v99923314","6.1.8","12158.6","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","534.1","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","539.8","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","533.0","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","551.9","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","552.8","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","567.2","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","601.7","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","617.4","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","660.4","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","663.5","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","657.9","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","669.6","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","675.9","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","590.6","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","724.1","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v99923315","6.1.9","919.6","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","5532.6","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","5693.4","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","5671.5","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","5920.4","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","5938.4","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","6006.2","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","6231.5","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","6370.4","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","6843.9","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","7062.4","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","7132.7","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Garments","Dollars","81","millions","6","v99923316","6.1.10","7535.4","","","","1"
