"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1219.5","","","","1"
"2004","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1401.1","","","","1"
"2005","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1625.3","","","","1"
"2006","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1689.5","","","","1"
"2007","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1841.9","","","","1"
"2008","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1935.3","","","","1"
"2009","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1754.3","","","","1"
"2010","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1846.7","","","","1"
"2011","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2132.3","","","","1"
"2012","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2284.9","","","","1"
"2013","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2205.3","","","","1"
"2014","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2701.5","","","","1"
"2015","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2991.6","","","","1"
"2016","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","3288.1","","","","1"
"2017","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","3541.1","","","","1"
"2018","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","3700.5","","","","1"
"2019","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","4032.1","","","","1"
"2020","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1003.8","","","","1"
"2021","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","655.5","","","","1"
"2022","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","2211.0","","","","1"
"1997","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","211.9","","","","1"
"1998","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","221.2","","","","1"
"1999","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","220.9","","","","1"
"2000","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","233.3","","","","1"
"2001","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","237.8","","","","1"
"2002","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","211.2","","","","1"
"2003","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","194.2","","","","1"
"2004","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","216.3","","","","1"
"2005","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","221.3","","","","1"
